symbol,name,exchange_name,quote_type,output_amount_formatted,price_per_token,slippage_limit_percent,quoted_at
uDOGE,uDOGE Token,KyberSwap,SELL,992.23842600,0.18107789,0.50,2025-06-09 05:19:42.156727+00
uDOGE,uDOGE Token,Universal Assets,BUY,5479.62208865,0.18249434,0.20,2025-06-09 05:19:41.972719+00
uSEI,uSEI Token,KyberSwap,SELL,840.89630400,0.15823918,0.50,2025-06-09 05:19:41.60023+00
uSEI,uSEI Token,Universal Assets,BUY,5314.08395551,0.18817919,0.20,2025-06-09 05:19:41.409728+00
uBTC,Bitcoin,KyberSwap,SELL,993.51161000,105288.82098158,0.50,2025-06-09 05:19:41.04043+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943606,105976.43743849,0.20,2025-06-09 05:19:40.87271+00
uAPT,uAPT Token,KyberSwap,SELL,958.50994800,4.49432613,0.50,2025-06-09 05:19:24.47174+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:19:24.316426+00
uLINK,uLINK Token,KyberSwap,SELL,990.26397700,13.53989423,0.50,2025-06-09 05:19:23.947799+00
uLINK,uLINK Token,Universal Assets,BUY,73.13675871,13.67301501,0.20,2025-06-09 05:19:23.789432+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.66401500,0.00001238,0.50,2025-06-09 05:19:23.420522+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:19:23.255538+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.23066100,0.18105655,0.50,2025-06-09 05:19:22.431915+00
uDOGE,uDOGE Token,Universal Assets,BUY,5480.22510638,0.18247426,0.20,2025-06-09 05:19:22.272552+00
uSEI,uSEI Token,KyberSwap,SELL,840.74188100,0.15819157,0.50,2025-06-09 05:19:21.883267+00
uSEI,uSEI Token,Universal Assets,BUY,5314.70710157,0.18815712,0.20,2025-06-09 05:19:21.722739+00
uBTC,Bitcoin,KyberSwap,SELL,993.68562600,105312.25107862,0.50,2025-06-09 05:19:21.321518+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943561,105981.45763922,0.20,2025-06-09 05:19:21.166977+00
uAPT,uAPT Token,KyberSwap,SELL,958.68283300,4.49513676,0.50,2025-06-09 05:19:03.078877+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:19:02.911923+00
uLINK,uLINK Token,KyberSwap,SELL,990.73375900,13.54233862,0.50,2025-06-09 05:19:02.541236+00
uLINK,uLINK Token,Universal Assets,BUY,73.15824740,13.66899886,0.20,2025-06-09 05:19:02.34231+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.84254900,0.00001238,0.50,2025-06-09 05:19:01.942963+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:19:01.784814+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.40983400,0.18108925,0.50,2025-06-09 05:19:01.271781+00
uDOGE,uDOGE Token,Universal Assets,BUY,5480.22510638,0.18247426,0.20,2025-06-09 05:19:01.103121+00
uSEI,uSEI Token,KyberSwap,SELL,840.89366600,0.15815598,0.50,2025-06-09 05:19:00.706934+00
uSEI,uSEI Token,Universal Assets,BUY,5316.86285130,0.18808083,0.20,2025-06-09 05:19:00.543405+00
uBTC,Bitcoin,KyberSwap,SELL,993.81752600,105313.29812117,0.50,2025-06-09 05:19:00.136757+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943677,105968.44527892,0.20,2025-06-09 05:18:59.963587+00
uAPT,uAPT Token,KyberSwap,SELL,958.58076600,4.49465818,0.50,2025-06-09 05:18:43.890438+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:18:43.73555+00
uLINK,uLINK Token,KyberSwap,SELL,990.84569000,13.54090450,0.50,2025-06-09 05:18:43.356481+00
uLINK,uLINK Token,Universal Assets,BUY,73.17426172,13.66600737,0.20,2025-06-09 05:18:43.195485+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.73739200,0.00001238,0.50,2025-06-09 05:18:42.805818+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:18:42.637482+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.79607600,0.18107001,0.50,2025-06-09 05:18:42.273966+00
uDOGE,uDOGE Token,Universal Assets,BUY,5482.94032939,0.18238389,0.20,2025-06-09 05:18:42.117684+00
uSEI,uSEI Token,KyberSwap,SELL,840.80644000,0.15813958,0.50,2025-06-09 05:18:41.723092+00
uSEI,uSEI Token,Universal Assets,BUY,5316.86285130,0.18808083,0.20,2025-06-09 05:18:41.569601+00
uBTC,Bitcoin,KyberSwap,SELL,993.67273900,105297.33670174,0.50,2025-06-09 05:18:41.201936+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943683,105967.82277403,0.20,2025-06-09 05:18:41.046511+00
uAPT,uAPT Token,KyberSwap,SELL,958.58204700,4.49466419,0.50,2025-06-09 05:18:24.074129+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:18:23.920266+00
uLINK,uLINK Token,KyberSwap,SELL,990.78226300,13.54092214,0.50,2025-06-09 05:18:23.428515+00
uLINK,uLINK Token,Universal Assets,BUY,73.16948234,13.66690003,0.20,2025-06-09 05:18:23.273239+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.73866800,0.00001238,0.50,2025-06-09 05:18:22.875244+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:18:22.715136+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.74280800,0.18107025,0.50,2025-06-09 05:18:22.347163+00
uDOGE,uDOGE Token,Universal Assets,BUY,5482.63884004,0.18239392,0.20,2025-06-09 05:18:22.172442+00
uSEI,uSEI Token,KyberSwap,SELL,840.80186000,0.15817078,0.50,2025-06-09 05:18:21.768793+00
uSEI,uSEI Token,Universal Assets,BUY,5315.78497643,0.18811897,0.20,2025-06-09 05:18:21.602016+00
uBTC,Bitcoin,KyberSwap,SELL,993.64399100,105297.53136593,0.50,2025-06-09 05:18:21.236955+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943654,105971.08453297,0.20,2025-06-09 05:18:21.068777+00
uAPT,uAPT Token,KyberSwap,SELL,958.58204700,4.49466419,0.50,2025-06-09 05:18:03.468563+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:18:03.284984+00
uLINK,uLINK Token,KyberSwap,SELL,991.28511300,13.54092113,0.50,2025-06-09 05:18:02.895736+00
uLINK,uLINK Token,Universal Assets,BUY,73.20662336,13.65996619,0.20,2025-06-09 05:18:02.740825+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.73866800,0.00001238,0.50,2025-06-09 05:18:02.369961+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:18:02.213796+00
uDOGE,uDOGE Token,KyberSwap,SELL,993.34378400,0.18107017,0.50,2025-06-09 05:18:01.836528+00
uDOGE,uDOGE Token,Universal Assets,BUY,5485.96040118,0.18228349,0.20,2025-06-09 05:18:01.682442+00
uSEI,uSEI Token,KyberSwap,SELL,840.81207600,0.15805625,0.50,2025-06-09 05:18:01.31289+00
uSEI,uSEI Token,Universal Assets,BUY,5319.70153942,0.18798047,0.20,2025-06-09 05:18:01.078487+00
uBTC,Bitcoin,KyberSwap,SELL,993.69682200,105297.68378239,0.50,2025-06-09 05:18:00.635762+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943702,105965.60384531,0.20,2025-06-09 05:18:00.454951+00
uAPT,uAPT Token,KyberSwap,SELL,956.78613000,4.49584989,0.50,2025-06-09 05:17:42.891893+00
uAPT,uAPT Token,Universal Assets,BUY,212.81540830,4.69890788,0.20,2025-06-09 05:17:42.739999+00
uLINK,uLINK Token,KyberSwap,SELL,990.58252000,13.54325875,0.50,2025-06-09 05:17:42.328998+00
uLINK,uLINK Token,Universal Assets,BUY,73.14210992,13.67201467,0.20,2025-06-09 05:17:42.164975+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.91003300,0.00001238,0.50,2025-06-09 05:17:41.785244+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:17:41.632529+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.91395600,0.18110148,0.50,2025-06-09 05:17:41.276429+00
uDOGE,uDOGE Token,Universal Assets,BUY,5482.63850509,0.18239393,0.20,2025-06-09 05:17:41.121349+00
uSEI,uSEI Token,KyberSwap,SELL,840.95234400,0.15828351,0.50,2025-06-09 05:17:40.73599+00
uSEI,uSEI Token,Universal Assets,BUY,5312.94989111,0.18821935,0.20,2025-06-09 05:17:40.581638+00
uBTC,Bitcoin,KyberSwap,SELL,993.46591400,105291.95811958,0.50,2025-06-09 05:17:40.099811+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943534,105984.46975966,0.20,2025-06-09 05:17:39.944723+00
uAPT,uAPT Token,KyberSwap,SELL,958.74118900,4.49541039,0.50,2025-06-09 05:17:22.811246+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:17:22.65246+00
uLINK,uLINK Token,KyberSwap,SELL,990.64103700,13.54306415,0.50,2025-06-09 05:17:22.224432+00
uLINK,uLINK Token,Universal Assets,BUY,73.14748170,13.67101063,0.20,2025-06-09 05:17:22.051281+00
uSHIB,uSHIB Token,KyberSwap,SELL,994.06433700,0.00001239,0.50,2025-06-09 05:17:21.685463+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:17:21.531305+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.99791200,0.18109998,0.50,2025-06-09 05:17:21.172455+00
uDOGE,uDOGE Token,Universal Assets,BUY,5483.14751725,0.18237700,0.20,2025-06-09 05:17:20.978867+00
uSEI,uSEI Token,KyberSwap,SELL,840.94651800,0.15825032,0.50,2025-06-09 05:17:20.570447+00
uSEI,uSEI Token,Universal Assets,BUY,5314.02719111,0.18818120,0.20,2025-06-09 05:17:20.222492+00
uBTC,Bitcoin,KyberSwap,SELL,993.43256900,105288.42406744,0.50,2025-06-09 05:17:19.850544+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943534,105984.46975966,0.20,2025-06-09 05:17:19.697689+00
uAPT,uAPT Token,KyberSwap,SELL,957.23819400,4.49797410,0.50,2025-06-09 05:17:02.839405+00
uAPT,uAPT Token,Universal Assets,BUY,212.81540830,4.69890788,0.20,2025-06-09 05:17:02.678531+00
uLINK,uLINK Token,KyberSwap,SELL,990.32012200,13.54967241,0.50,2025-06-09 05:17:02.272106+00
uLINK,uLINK Token,Universal Assets,BUY,73.08812286,13.68211360,0.20,2025-06-09 05:17:02.09974+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.58286100,0.00001239,0.50,2025-06-09 05:17:01.728123+00
uSHIB,uSHIB Token,Universal Assets,BUY,80191313.27163844,0.00001247,0.20,2025-06-09 05:17:01.567972+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.89252500,0.18118729,0.50,2025-06-09 05:17:01.210125+00
uDOGE,uDOGE Token,Universal Assets,BUY,5479.92358093,0.18248430,0.20,2025-06-09 05:17:01.05519+00
uSEI,uSEI Token,KyberSwap,SELL,841.34721500,0.15849291,0.50,2025-06-09 05:17:00.689659+00
uSEI,uSEI Token,Universal Assets,BUY,5308.42163910,0.18837991,0.20,2025-06-09 05:17:00.533173+00
uBTC,Bitcoin,KyberSwap,SELL,993.74201400,105338.18229859,0.50,2025-06-09 05:16:59.958669+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943383,106001.53844214,0.20,2025-06-09 05:16:59.80347+00
uAPT,uAPT Token,KyberSwap,SELL,956.95780200,4.49665656,0.50,2025-06-09 05:16:42.682489+00
uAPT,uAPT Token,Universal Assets,BUY,212.81540830,4.69890788,0.20,2025-06-09 05:16:42.513461+00
uLINK,uLINK Token,KyberSwap,SELL,990.10693100,13.54570345,0.50,2025-06-09 05:16:42.000255+00
uLINK,uLINK Token,Universal Assets,BUY,73.09379942,13.68105103,0.20,2025-06-09 05:16:41.795238+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.32094300,0.00001239,0.50,2025-06-09 05:16:41.387301+00
uSHIB,uSHIB Token,Universal Assets,BUY,80191313.27163844,0.00001247,0.20,2025-06-09 05:16:40.982886+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.57621800,0.18113954,0.50,2025-06-09 05:16:40.608551+00
uDOGE,uDOGE Token,Universal Assets,BUY,5479.62208865,0.18249434,0.20,2025-06-09 05:16:40.330999+00
uSEI,uSEI Token,KyberSwap,SELL,841.10071600,0.15847861,0.50,2025-06-09 05:16:39.934682+00
uSEI,uSEI Token,Universal Assets,BUY,5307.34548699,0.18841811,0.20,2025-06-09 05:16:39.778154+00
uBTC,Bitcoin,KyberSwap,SELL,993.37249300,105309.31242614,0.50,2025-06-09 05:16:39.406869+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943290,106011.90708241,0.20,2025-06-09 05:16:39.253287+00
uAPT,uAPT Token,KyberSwap,SELL,958.62410000,4.49486137,0.50,2025-06-09 05:16:22.53915+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:16:22.359924+00
uLINK,uLINK Token,KyberSwap,SELL,990.26540000,13.54150986,0.50,2025-06-09 05:16:21.978867+00
uLINK,uLINK Token,Universal Assets,BUY,73.12813787,13.67462688,0.20,2025-06-09 05:16:21.823456+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.78165500,0.00001238,0.50,2025-06-09 05:16:21.465283+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:16:21.279675+00
uDOGE,uDOGE Token,KyberSwap,SELL,993.11453800,0.18107824,0.50,2025-06-09 05:16:20.918959+00
uDOGE,uDOGE Token,Universal Assets,BUY,5484.44994953,0.18233369,0.20,2025-06-09 05:16:20.687083+00
uSEI,uSEI Token,KyberSwap,SELL,840.84896400,0.15832428,0.50,2025-06-09 05:16:20.090887+00
uSEI,uSEI Token,Universal Assets,BUY,5310.92869581,0.18829099,0.20,2025-06-09 05:16:19.937734+00
uBTC,Bitcoin,KyberSwap,SELL,993.40688700,105301.19914423,0.50,2025-06-09 05:16:19.570067+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943396,106000.06958098,0.20,2025-06-09 05:16:19.406826+00
uAPT,uAPT Token,KyberSwap,SELL,958.63953700,4.49493375,0.50,2025-06-09 05:16:03.145126+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:16:02.947975+00
uLINK,uLINK Token,KyberSwap,SELL,990.68862600,13.54172536,0.50,2025-06-09 05:16:02.576448+00
uLINK,uLINK Token,Universal Assets,BUY,73.15822762,13.66900255,0.20,2025-06-09 05:16:02.418895+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.79755100,0.00001238,0.50,2025-06-09 05:16:02.047897+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:16:01.879516+00
uDOGE,uDOGE Token,KyberSwap,SELL,993.29330200,0.18108091,0.50,2025-06-09 05:16:01.452242+00
uDOGE,uDOGE Token,Universal Assets,BUY,5485.35612069,0.18230357,0.20,2025-06-09 05:16:01.296811+00
uSEI,uSEI Token,KyberSwap,SELL,840.85595300,0.15828064,0.50,2025-06-09 05:16:00.914857+00
uSEI,uSEI Token,Universal Assets,BUY,5312.43720271,0.18823752,0.20,2025-06-09 05:16:00.735799+00
uBTC,Bitcoin,KyberSwap,SELL,993.53137600,105302.32763108,0.50,2025-06-09 05:16:00.150329+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943504,105987.92365776,0.20,2025-06-09 05:15:59.988455+00
uAPT,uAPT Token,KyberSwap,SELL,958.41264100,4.49386987,0.50,2025-06-09 05:15:41.925499+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:15:41.769672+00
uLINK,uLINK Token,KyberSwap,SELL,990.45453100,13.53852185,0.50,2025-06-09 05:15:41.410473+00
uLINK,uLINK Token,Universal Assets,BUY,73.15824740,13.66899886,0.20,2025-06-09 05:15:41.25798+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.56244600,0.00001238,0.50,2025-06-09 05:15:40.898675+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:15:40.733843+00
uDOGE,uDOGE Token,KyberSwap,SELL,993.27697400,0.18103805,0.50,2025-06-09 05:15:40.275884+00
uDOGE,uDOGE Token,Universal Assets,BUY,5486.56481482,0.18226341,0.20,2025-06-09 05:15:40.098943+00
uSEI,uSEI Token,KyberSwap,SELL,840.65989500,0.15822677,0.50,2025-06-09 05:15:39.699182+00
uSEI,uSEI Token,Universal Assets,BUY,5313.00670871,0.18821734,0.20,2025-06-09 05:15:39.531836+00
uBTC,Bitcoin,KyberSwap,SELL,993.32129700,105277.85768491,0.50,2025-06-09 05:15:39.172021+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943523,105985.70472904,0.20,2025-06-09 05:15:39.019513+00
uAPT,uAPT Token,KyberSwap,SELL,958.25329600,4.49312272,0.50,2025-06-09 05:15:22.61077+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:15:22.420936+00
uLINK,uLINK Token,KyberSwap,SELL,990.94467300,13.53626951,0.50,2025-06-09 05:15:22.001741+00
uLINK,uLINK Token,Universal Assets,BUY,73.20662996,13.65996496,0.20,2025-06-09 05:15:21.830456+00
uSHIB,uSHIB Token,KyberSwap,SELL,994.19549500,0.00001238,0.50,2025-06-09 05:15:21.462473+00
uSHIB,uSHIB Token,Universal Assets,BUY,80320654.09949592,0.00001245,0.20,2025-06-09 05:15:21.306163+00
uDOGE,uDOGE Token,KyberSwap,SELL,993.53934800,0.18097614,0.50,2025-06-09 05:15:20.941299+00
uDOGE,uDOGE Token,Universal Assets,BUY,5489.89147191,0.18215296,0.20,2025-06-09 05:15:20.781064+00
uSEI,uSEI Token,KyberSwap,SELL,840.51614900,0.15814910,0.50,2025-06-09 05:15:20.304508+00
uSEI,uSEI Token,Universal Assets,BUY,5314.70710157,0.18815712,0.20,2025-06-09 05:15:20.09471+00
uBTC,Bitcoin,KyberSwap,SELL,993.40748400,105252.51984228,0.50,2025-06-09 05:15:19.724908+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943832,105951.00352826,0.20,2025-06-09 05:15:19.568048+00
uAPT,uAPT Token,KyberSwap,SELL,958.08973300,4.49235579,0.50,2025-06-09 05:15:01.769965+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:15:01.599042+00
uLINK,uLINK Token,KyberSwap,SELL,991.06695900,13.53395721,0.50,2025-06-09 05:15:01.189501+00
uLINK,uLINK Token,Universal Assets,BUY,73.22817294,13.65594634,0.20,2025-06-09 05:15:01.003779+00
